,Helipad_number,FAA_index,latitude,longitude,zoom,groundtruth,category,minX,minY,maxX,maxY,url
10,16,174,65.75861111111111,-168.95305555555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=65.75861111111111,-168.95305555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
11,17,183,58.971680555555565,-135.222025,20,True,3,159,135,466,463,"http://maps.googleapis.com/maps/api/staticmap?center=58.971680555555565,-135.222025&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
12,19,217,64.83085555555556,-147.66045555555556,20,True,1,8,7,607,621,"http://maps.googleapis.com/maps/api/staticmap?center=64.83085555555556,-147.66045555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
13,20,223,60.97,-149.10138888888892,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=60.97,-149.10138888888892&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
14,21,238,59.43755555555556,-136.22936111111107,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=59.43755555555556,-136.22936111111107&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
15,22,240,59.40305555555555,-136.01361111111112,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=59.40305555555555,-136.01361111111112&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
16,23,245,63.738431944444436,-148.88174972222222,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=63.738431944444436,-148.88174972222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
17,29,297,59.001752777777774,-158.53246444444446,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=59.001752777777774,-158.53246444444446&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
18,30,318,60.5295265,-151.25673805555556,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=60.5295265,-151.25673805555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
19,31,321,55.38298416666667,-131.73501833333333,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=55.38298416666667,-131.73501833333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
20,32,324,55.36748333333333,-131.7158111111111,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=55.36748333333333,-131.7158111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
21,33,327,55.3625,-131.70944444444444,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=55.3625,-131.70944444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
22,37,415,60.73972222222223,-151.30833333333334,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=60.73972222222223,-151.30833333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
23,40,447,61.594722222222224,-149.1538888888889,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.594722222222224,-149.1538888888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
24,41,463,61.56224444444444,-149.260325,20,True,4,185,199,464,442,"http://maps.googleapis.com/maps/api/staticmap?center=61.56224444444444,-149.260325&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
25,42,469,61.556055555555545,-149.28452777777778,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.556055555555545,-149.28452777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
26,43,494,61.24945138888889,-150.03556055555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.24945138888889,-150.03556055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
27,45,534,60.105794444444456,-149.44625555555555,20,True,1,186,360,414,558,"http://maps.googleapis.com/maps/api/staticmap?center=60.105794444444456,-149.44625555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
28,47,563,60.49265277777778,-151.07893888888887,20,True,1,64,79,566,571,"http://maps.googleapis.com/maps/api/staticmap?center=60.49265277777778,-151.07893888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
29,48,599,62.969888888888896,-150.75375,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=62.969888888888896,-150.75375&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
30,50,634,62.56755277777778,-150.23588333333333,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=62.56755277777778,-150.23588333333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
31,51,642,61.18076944444446,-151.0411472222222,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.18076944444446,-151.0411472222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
32,52,651,61.13,-146.37055555555554,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.13,-146.37055555555554&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
33,53,654,61.13661111111111,-146.34538888888892,20,True,1,178,6,635,519,"http://maps.googleapis.com/maps/api/staticmap?center=61.13661111111111,-146.34538888888892&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
34,54,666,61.607411111111105,-149.2795,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.607411111111105,-149.2795&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
35,55,713,61.587247222222224,-149.33453055555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.587247222222224,-149.33453055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
36,56,767,33.252222222222215,-86.81222222222222,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=33.252222222222215,-86.81222222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
37,57,772,33.62638888888889,-85.96722222222222,20,True,other,130,170,404,382,"http://maps.googleapis.com/maps/api/staticmap?center=33.62638888888889,-85.96722222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
38,58,774,33.65600555555555,-85.82444444444444,20,True,1,244,247,389,383,"http://maps.googleapis.com/maps/api/staticmap?center=33.65600555555555,-85.82444444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
39,59,776,33.27721666666667,-85.82481944444444,20,True,1,275,275,373,359,"http://maps.googleapis.com/maps/api/staticmap?center=33.27721666666667,-85.82481944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
40,60,779,34.802816666666665,-86.98060555555556,20,True,4,228,278,397,430,"http://maps.googleapis.com/maps/api/staticmap?center=34.802816666666665,-86.98060555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
41,61,783,30.948611111111113,-87.74555555555555,20,True,other,223,338,414,513,"http://maps.googleapis.com/maps/api/staticmap?center=30.948611111111113,-87.74555555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
42,62,786,33.37155833333333,-86.99100555555556,20,True,1,215,232,401,403,"http://maps.googleapis.com/maps/api/staticmap?center=33.37155833333333,-86.99100555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
43,63,787,33.519549722222216,-86.81360111111111,20,True,9,38,296,236,493,"http://maps.googleapis.com/maps/api/staticmap?center=33.519549722222216,-86.81360111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
44,64,788,33.49760583333333,-86.84637944444445,20,True,5,130,207,327,382,"http://maps.googleapis.com/maps/api/staticmap?center=33.49760583333333,-86.84637944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
45,65,791,33.464072222222235,-86.77286944444445,20,True,1,213,221,410,398,"http://maps.googleapis.com/maps/api/staticmap?center=33.464072222222235,-86.77286944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
46,66,792,33.53578333333333,-86.81140555555555,20,True,2,218,142,357,289,"http://maps.googleapis.com/maps/api/staticmap?center=33.53578333333333,-86.81140555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
47,66,792,33.53578333333333,-86.81140555555555,20,True,2,279,347,425,504,"http://maps.googleapis.com/maps/api/staticmap?center=33.53578333333333,-86.81140555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
48,67,793,33.432875,-86.71609444444445,20,True,6,219,261,408,441,"http://maps.googleapis.com/maps/api/staticmap?center=33.432875,-86.71609444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
49,68,794,33.512049166666664,-86.67748694444445,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=33.512049166666664,-86.67748694444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
50,69,795,33.47866666666667,-86.70200000000001,20,True,7,81,213,156,293,"http://maps.googleapis.com/maps/api/staticmap?center=33.47866666666667,-86.70200000000001&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
51,70,796,33.596972222222234,-86.66780833333334,20,True,1,241,238,395,379,"http://maps.googleapis.com/maps/api/staticmap?center=33.596972222222234,-86.66780833333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
52,71,797,33.504271944444454,-86.8052675,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=33.504271944444454,-86.8052675&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
53,72,798,33.50586111111111,-86.80277777777779,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=33.50586111111111,-86.80277777777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
54,73,801,34.22040555555556,-86.15765,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=34.22040555555556,-86.15765&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
55,74,804,31.125669444444448,-87.07346944444444,20,True,1,243,240,400,393,"http://maps.googleapis.com/maps/api/staticmap?center=31.125669444444448,-87.07346944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
56,75,805,34.91384166666666,-85.77086111111113,20,True,2,268,221,422,385,"http://maps.googleapis.com/maps/api/staticmap?center=34.91384166666666,-85.77086111111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
57,76,807,32.09348333333334,-88.21019166666667,20,True,1,80,318,331,562,"http://maps.googleapis.com/maps/api/staticmap?center=32.09348333333334,-88.21019166666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
58,77,809,33.27420833333333,-88.08933333333331,20,True,1,254,239,349,337,"http://maps.googleapis.com/maps/api/staticmap?center=33.27420833333333,-88.08933333333331&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
59,78,817,33.322433333333336,-86.35788055555555,20,True,1,249,244,380,385,"http://maps.googleapis.com/maps/api/staticmap?center=33.322433333333336,-86.35788055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
60,79,818,31.089597222222217,-88.24507222222222,20,True,1,250,256,369,370,"http://maps.googleapis.com/maps/api/staticmap?center=31.089597222222217,-88.24507222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
61,80,819,32.88083333333333,-86.62194444444445,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=32.88083333333333,-86.62194444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
62,81,821,32.8005,-86.4465,20,True,1,159,224,234,306,"http://maps.googleapis.com/maps/api/staticmap?center=32.8005,-86.4465&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
63,82,824,33.18661944444444,-86.62679999999997,20,True,8,269,220,393,333,"http://maps.googleapis.com/maps/api/staticmap?center=33.18661944444444,-86.62679999999997&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
64,83,826,32.17237444444444,-85.02881916666666,20,True,other,124,209,288,377,"http://maps.googleapis.com/maps/api/staticmap?center=32.17237444444444,-85.02881916666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
65,84,830,34.20198333333334,-86.8065,20,True,1,208,226,408,407,"http://maps.googleapis.com/maps/api/staticmap?center=34.20198333333334,-86.8065&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
66,85,832,32.81849166666667,-85.74151111111111,20,True,1,269,277,376,371,"http://maps.googleapis.com/maps/api/staticmap?center=32.81849166666667,-85.74151111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
67,86,833,34.373000000000005,-87.0805,20,True,8,142,221,367,406,"http://maps.googleapis.com/maps/api/staticmap?center=34.373000000000005,-87.0805&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
68,87,834,30.654636111111113,-87.85425277777777,20,True,6,212,222,411,412,"http://maps.googleapis.com/maps/api/staticmap?center=30.654636111111113,-87.85425277777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
69,88,837,34.59209722222222,-86.972125,20,True,1,245,240,395,395,"http://maps.googleapis.com/maps/api/staticmap?center=34.59209722222222,-86.972125&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
70,89,839,32.505555555555546,-87.83638888888889,20,True,6,286,119,402,247,"http://maps.googleapis.com/maps/api/staticmap?center=32.505555555555546,-87.83638888888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
71,90,842,31.23736666666667,-85.45478333333334,20,True,2,234,229,415,404,"http://maps.googleapis.com/maps/api/staticmap?center=31.23736666666667,-85.45478333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
72,91,843,31.218102777777773,-85.36745555555554,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.218102777777773,-85.36745555555554&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
73,92,846,30.31545,-87.57237777777777,20,True,other,225,222,406,395,"http://maps.googleapis.com/maps/api/staticmap?center=30.31545,-87.57237777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
74,93,851,31.889452777777773,-85.15621666666667,20,True,1,247,252,400,400,"http://maps.googleapis.com/maps/api/staticmap?center=31.889452777777773,-85.15621666666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
75,94,855,31.4301,-86.94021666666669,20,True,unknown,267,276,377,371,"http://maps.googleapis.com/maps/api/staticmap?center=31.4301,-86.94021666666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
76,95,857,33.70916666666667,-87.82361111111109,20,True,1,311,223,476,397,"http://maps.googleapis.com/maps/api/staticmap?center=33.70916666666667,-87.82361111111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
77,96,859,34.76891944444444,-85.69620555555557,20,True,1,197,179,288,273,"http://maps.googleapis.com/maps/api/staticmap?center=34.76891944444444,-85.69620555555557&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
78,97,863,31.00091111111111,-86.31365555555556,20,True,1,250,233,386,386,"http://maps.googleapis.com/maps/api/staticmap?center=31.00091111111111,-86.31365555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
79,98,864,34.805125,-87.65281944444445,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=34.805125,-87.65281944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
80,99,869,30.42666944444445,-87.68511388888889,20,True,1,272,272,365,357,"http://maps.googleapis.com/maps/api/staticmap?center=30.42666944444445,-87.68511388888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
81,100,872,32.60131388888889,-87.78350555555555,20,True,other,262,254,389,390,"http://maps.googleapis.com/maps/api/staticmap?center=32.60131388888889,-87.78350555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
82,101,874,34.442202777777766,-85.75581944444444,20,True,4,309,370,415,468,"http://maps.googleapis.com/maps/api/staticmap?center=34.442202777777766,-85.75581944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
83,102,877,31.36266944444445,-85.84938333333334,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.36266944444445,-85.84938333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
84,103,878,31.35573416666667,-85.65186305555557,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.35573416666667,-85.65186305555557&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
85,104,879,31.35583333333333,-85.75116666666666,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.35583333333333,-85.75116666666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
86,105,880,31.22570833333333,-85.56159444444444,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.22570833333333,-85.56159444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
87,106,881,31.33881388888889,-86.09174722222221,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.33881388888889,-86.09174722222221&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
88,107,882,31.269875,-86.04093888888889,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.269875,-86.04093888888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
89,108,883,31.15353888888889,-85.73368055555554,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.15353888888889,-85.73368055555554&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
90,109,884,31.093611111111112,-85.78794444444446,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.093611111111112,-85.78794444444446&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
91,110,885,31.41397777777777,-85.45985,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.41397777777777,-85.45985&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
92,111,886,31.81668611111111,-85.65181666666669,20,True,8,291,60,498,260,"http://maps.googleapis.com/maps/api/staticmap?center=31.81668611111111,-85.65181666666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
93,112,887,31.38843888888889,-85.972425,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.38843888888889,-85.972425&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
94,113,888,31.360794444444448,-86.01373055555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.360794444444448,-86.01373055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
95,114,889,31.38018611111111,-85.580275,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.38018611111111,-85.580275&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
96,115,890,31.287652777777783,-86.13006111111109,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.287652777777783,-86.13006111111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
97,116,892,31.393694444444453,-85.7515,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.393694444444453,-85.7515&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
98,117,893,31.358972222222228,-85.62054444444443,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.358972222222228,-85.62054444444443&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
99,118,894,31.40841111111111,-85.68924444444445,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.40841111111111,-85.68924444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
100,119,895,31.31683833333333,-85.66660194444445,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.31683833333333,-85.66660194444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
101,120,896,31.482430555555553,-85.7850638888889,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.482430555555553,-85.7850638888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
102,121,897,31.464952777777782,-85.8463361111111,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.464952777777782,-85.8463361111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
103,122,898,31.12101388888889,-85.97724166666669,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.12101388888889,-85.97724166666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
104,123,899,31.231175,-85.64970277777779,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=31.231175,-85.64970277777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
105,124,900,34.00833333333333,-85.9652777777778,20,True,1,361,236,453,327,"http://maps.googleapis.com/maps/api/staticmap?center=34.00833333333333,-85.9652777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
106,125,903,33.6484,-86.8189,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=33.6484,-86.8189&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
107,126,906,31.049623055555557,-85.89160277777779,20,True,1,0,112,111,271,"http://maps.googleapis.com/maps/api/staticmap?center=31.049623055555557,-85.89160277777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
108,127,916,34.36517222222222,-86.42297500000002,20,True,1,240,247,396,401,"http://maps.googleapis.com/maps/api/staticmap?center=34.36517222222222,-86.42297500000002&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
109,128,918,34.24236944444444,-87.59229166666668,20,True,1,257,264,368,371,"http://maps.googleapis.com/maps/api/staticmap?center=34.24236944444444,-87.59229166666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
110,129,921,34.12719444444444,-87.99083333333333,20,True,1,271,287,391,400,"http://maps.googleapis.com/maps/api/staticmap?center=34.12719444444444,-87.99083333333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
111,130,926,34.42722222222222,-86.915,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=34.42722222222222,-86.915&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
112,131,933,33.352780555555555,-86.78786111111111,20,True,4,288,294,344,349,"http://maps.googleapis.com/maps/api/staticmap?center=33.352780555555555,-86.78786111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
113,132,934,33.420277777777784,-86.66944444444445,20,True,6,252,194,408,363,"http://maps.googleapis.com/maps/api/staticmap?center=33.420277777777784,-86.66944444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
114,133,935,33.35472222222222,-86.85583333333332,20,True,1,61,189,203,311,"http://maps.googleapis.com/maps/api/staticmap?center=33.35472222222222,-86.85583333333332&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
115,134,938,34.688424166666664,-86.58888138888888,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=34.688424166666664,-86.58888138888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
116,135,942,34.72099611111111,-86.58083916666666,20,True,1,387,143,510,263,"http://maps.googleapis.com/maps/api/staticmap?center=34.72099611111111,-86.58083916666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
117,136,949,33.844005555555555,-87.23666388888887,20,True,1,239,238,399,372,"http://maps.googleapis.com/maps/api/staticmap?center=33.844005555555555,-87.23666388888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
118,137,950,32.95923055555556,-86.51956388888887,20,True,3,266,280,372,366,"http://maps.googleapis.com/maps/api/staticmap?center=32.95923055555556,-86.51956388888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
119,138,954,34.13226111111111,-85.79540833333333,20,True,3,282,245,375,321,"http://maps.googleapis.com/maps/api/staticmap?center=34.13226111111111,-85.79540833333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
120,139,955,34.99375,-87.34194444444445,20,True,8,273,281,362,374,"http://maps.googleapis.com/maps/api/staticmap?center=34.99375,-87.34194444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
